epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,2784.74,1.27132,1.6688,1.74672,0.76508,0.65616,0.71497,0.40474,1.60724,1.20472,2.08601,0.005842,0.005842,0.005842
44,2848.91,1.26572,1.65212,1.73763,0.78888,0.66127,0.72031,0.40574,1.61131,1.17343,2.09274,0.005743,0.005743,0.005743
45,2913.1,1.26007,1.637,1.7377,0.75369,0.65896,0.71261,0.40188,1.59515,1.20573,2.07206,0.005644,0.005644,0.005644
46,2977.39,1.26008,1.6299,1.7345,0.77188,0.64489,0.70788,0.40037,1.62376,1.20065,2.09974,0.005545,0.005545,0.005545
47,3041.66,1.2601,1.61776,1.73604,0.76512,0.66241,0.71883,0.40855,1.60001,1.19187,2.08106,0.005446,0.005446,0.005446
48,3105.97,1.24537,1.60428,1.72218,0.79901,0.65267,0.72141,0.41084,1.59989,1.15458,2.086,0.005347,0.005347,0.005347
49,3170.4,1.23902,1.59006,1.72031,0.7779,0.66531,0.7196,0.40883,1.61661,1.17237,2.10801,0.005248,0.005248,0.005248
50,3234.74,1.24879,1.58563,1.72058,0.77421,0.6712,0.72035,0.41719,1.57954,1.15385,2.05721,0.005149,0.005149,0.005149
51,3299.13,1.24387,1.58182,1.72439,0.7998,0.65529,0.7268,0.4151,1.59065,1.13907,2.06594,0.00505,0.00505,0.00505
52,3363.5,1.24166,1.56412,1.71676,0.7628,0.68176,0.73048,0.41387,1.59418,1.14547,2.07597,0.004951,0.004951,0.004951
53,3427.88,1.24088,1.53821,1.71287,0.78316,0.68647,0.73102,0.4169,1.60468,1.1376,2.07939,0.004852,0.004852,0.004852
54,3492.19,1.23428,1.54619,1.70998,0.7883,0.68523,0.73667,0.41616,1.59297,1.12722,2.07464,0.004753,0.004753,0.004753
