epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,2829.42,1.2363,1.23127,1.56575,0.83993,0.69533,0.75705,0.45727,1.47519,1.02853,1.96099,0.005842,0.005842,0.005842
44,2894.58,1.23922,1.20871,1.55836,0.82119,0.72577,0.77322,0.46754,1.47065,1.00969,1.95408,0.005743,0.005743,0.005743
45,2959.69,1.22049,1.19793,1.55067,0.84532,0.71591,0.77191,0.46465,1.47248,1.01873,1.95268,0.005644,0.005644,0.005644
46,3024.86,1.21901,1.18949,1.5446,0.84055,0.71255,0.76688,0.46211,1.48008,1.0235,1.96509,0.005545,0.005545,0.005545
47,3090.09,1.2165,1.19244,1.54082,0.85764,0.70209,0.76564,0.45903,1.48666,1.02724,1.9707,0.005446,0.005446,0.005446
48,3155.19,1.20917,1.16033,1.53671,0.83439,0.7117,0.76424,0.45765,1.49985,1.0192,1.98814,0.005347,0.005347,0.005347
49,3220.46,1.20485,1.14671,1.53223,0.86121,0.69619,0.76129,0.45962,1.49228,1.02658,1.99029,0.005248,0.005248,0.005248
50,3285.7,1.19689,1.14047,1.52354,0.83771,0.70813,0.76765,0.46503,1.49619,1.01676,1.985,0.005149,0.005149,0.005149
51,3350.88,1.19857,1.14356,1.53402,0.84524,0.71212,0.76465,0.45833,1.50755,1.01137,1.99163,0.00505,0.00505,0.00505
52,3416.03,1.19672,1.12678,1.52332,0.80908,0.72074,0.77148,0.46465,1.49405,1.00837,1.98186,0.004951,0.004951,0.004951
53,3481.18,1.1861,1.1119,1.51701,0.87443,0.70096,0.77789,0.47048,1.49193,0.98986,1.97907,0.004852,0.004852,0.004852
54,3546.33,1.18661,1.09893,1.51504,0.86087,0.7063,0.76887,0.46171,1.50258,0.99907,1.98425,0.004753,0.004753,0.004753
55,3611.45,1.18449,1.10226,1.51404,0.83248,0.72286,0.77122,0.46597,1.49608,0.99861,1.97925,0.004654,0.004654,0.004654
56,3676.53,1.17136,1.0867,1.50651,0.84527,0.71116,0.77065,0.46281,1.49471,1.00989,1.98273,0.004555,0.004555,0.004555
57,3741.77,1.17689,1.07959,1.50841,0.86017,0.70099,0.76641,0.46258,1.49541,1.00784,1.98329,0.004456,0.004456,0.004456
58,3806.82,1.16536,1.08146,1.49934,0.82328,0.71576,0.76658,0.46137,1.49873,1.01449,1.99008,0.004357,0.004357,0.004357
59,3871.94,1.15722,1.06386,1.49552,0.82808,0.71872,0.76769,0.4601,1.50378,1.01375,1.99659,0.004258,0.004258,0.004258
60,3936.96,1.15834,1.06124,1.49394,0.83122,0.71958,0.76785,0.46098,1.50718,1.01441,2.001,0.004159,0.004159,0.004159
61,4002.01,1.1512,1.04575,1.49046,0.84033,0.71985,0.7699,0.46047,1.503,1.00141,1.99468,0.00406,0.00406,0.00406
62,4067.15,1.15831,1.05432,1.49435,0.83875,0.71441,0.76461,0.46151,1.50375,1.00454,2.00201,0.003961,0.003961,0.003961
63,4132.23,1.13648,1.02523,1.47697,0.83764,0.71252,0.76504,0.46247,1.50155,1.00582,2.00119,0.003862,0.003862,0.003862
64,4197.43,1.13609,1.02683,1.47377,0.8396,0.70897,0.76366,0.4626,1.50074,1.01217,2.00307,0.003763,0.003763,0.003763
65,4262.54,1.12561,0.99721,1.46547,0.83376,0.71668,0.76582,0.46166,1.50401,1.01416,2.00909,0.003664,0.003664,0.003664
66,4327.65,1.12982,1.01051,1.47013,0.82796,0.71412,0.76065,0.45663,1.50471,1.01837,2.01172,0.003565,0.003565,0.003565
67,4392.84,1.13016,1.01343,1.46841,0.81919,0.72092,0.76194,0.45735,1.50446,1.02545,2.01447,0.003466,0.003466,0.003466
68,4457.97,1.12222,0.98788,1.46033,0.82427,0.71598,0.76227,0.45449,1.50632,1.02391,2.01992,0.003367,0.003367,0.003367
69,4523.06,1.11076,0.98018,1.4557,0.81734,0.72156,0.76435,0.45583,1.50655,1.01981,2.02158,0.003268,0.003268,0.003268
70,4588.23,1.10915,0.97325,1.4536,0.81821,0.72011,0.76008,0.45446,1.51242,1.02127,2.029,0.003169,0.003169,0.003169
71,4653.37,1.0917,0.96496,1.44211,0.8272,0.72125,0.75756,0.45365,1.51205,1.02298,2.03197,0.00307,0.00307,0.00307
72,4718.59,1.09659,0.95661,1.44492,0.83065,0.71282,0.75743,0.45384,1.51307,1.02529,2.03206,0.002971,0.002971,0.002971
73,4783.72,1.08372,0.94409,1.43597,0.82363,0.71228,0.75566,0.45354,1.51392,1.02751,2.03423,0.002872,0.002872,0.002872
74,4848.78,1.08908,0.94468,1.43075,0.82909,0.71549,0.75779,0.45354,1.51713,1.02387,2.03961,0.002773,0.002773,0.002773
75,4913.87,1.07933,0.93428,1.42935,0.8341,0.70855,0.755,0.45351,1.52179,1.02941,2.04835,0.002674,0.002674,0.002674
76,4978.88,1.07911,0.92664,1.42781,0.84033,0.7066,0.7552,0.45412,1.52454,1.02979,2.05426,0.002575,0.002575,0.002575
77,5043.97,1.06231,0.91037,1.41779,0.8352,0.71207,0.75542,0.45448,1.5286,1.03522,2.06034,0.002476,0.002476,0.002476
78,5109.12,1.05802,0.91236,1.41216,0.84284,0.70801,0.75629,0.45424,1.52959,1.03835,2.06539,0.002377,0.002377,0.002377
79,5174.23,1.04924,0.90691,1.41247,0.84097,0.70859,0.7568,0.45262,1.53108,1.03876,2.06992,0.002278,0.002278,0.002278
80,5239.59,1.04788,0.89554,1.40271,0.84236,0.70445,0.75622,0.45364,1.53323,1.03977,2.07441,0.002179,0.002179,0.002179
81,5304.67,1.05103,0.89484,1.40616,0.84365,0.70374,0.75759,0.45411,1.53443,1.04252,2.07758,0.00208,0.00208,0.00208
82,5369.83,1.04088,0.88964,1.40378,0.85577,0.69719,0.75572,0.45445,1.53473,1.0414,2.08049,0.001981,0.001981,0.001981
83,5434.98,1.03102,0.87882,1.39743,0.83694,0.70608,0.75603,0.45631,1.53494,1.04033,2.08253,0.001882,0.001882,0.001882
84,5500.17,1.03004,0.87325,1.38909,0.82686,0.70922,0.75561,0.45504,1.53744,1.03989,2.08628,0.001783,0.001783,0.001783
85,5565.27,1.01995,0.86663,1.38646,0.83201,0.71072,0.75705,0.45513,1.54012,1.03786,2.09381,0.001684,0.001684,0.001684
86,5630.47,1.02333,0.86147,1.38393,0.83471,0.70696,0.75614,0.45452,1.54211,1.03763,2.09727,0.001585,0.001585,0.001585
87,5695.78,1.0122,0.8518,1.38006,0.83608,0.70976,0.75608,0.45366,1.5434,1.04047,2.10087,0.001486,0.001486,0.001486
88,5760.88,1.01154,0.84848,1.38093,0.83419,0.70792,0.75592,0.45378,1.54469,1.04101,2.10426,0.001387,0.001387,0.001387
89,5826.03,1.00293,0.8341,1.36943,0.83638,0.70831,0.75459,0.45262,1.54404,1.04068,2.10535,0.001288,0.001288,0.001288
90,5891.2,0.99769,0.8333,1.36904,0.8361,0.70908,0.75464,0.4518,1.54591,1.04115,2.10885,0.001189,0.001189,0.001189
91,5956.47,0.92346,0.51279,1.41307,0.83542,0.70955,0.75419,0.45141,1.54754,1.04226,2.11118,0.00109,0.00109,0.00109
92,6021.12,0.88618,0.48096,1.37835,0.83363,0.70892,0.75366,0.45033,1.54815,1.04316,2.11322,0.000991,0.000991,0.000991
93,6085.77,0.86789,0.46789,1.36282,0.83055,0.70923,0.75258,0.45025,1.54769,1.04489,2.1145,0.000892,0.000892,0.000892
94,6150.42,0.85537,0.46154,1.35479,0.82889,0.70834,0.75292,0.44955,1.54943,1.04412,2.11785,0.000793,0.000793,0.000793
95,6215.25,0.84541,0.45271,1.34117,0.83122,0.70687,0.75312,0.44974,1.55046,1.04481,2.12134,0.000694,0.000694,0.000694
96,6279.93,0.83304,0.44583,1.33052,0.83256,0.70191,0.75372,0.45029,1.55083,1.04739,2.12196,0.000595,0.000595,0.000595
97,6344.63,0.82453,0.44082,1.32645,0.83511,0.70207,0.75516,0.45014,1.55134,1.04848,2.12471,0.000496,0.000496,0.000496
98,6409.28,0.81836,0.43839,1.32206,0.84023,0.69752,0.75495,0.45009,1.55205,1.05069,2.12735,0.000397,0.000397,0.000397
99,6473.94,0.81093,0.42894,1.3138,0.8452,0.69576,0.75458,0.45026,1.55296,1.05041,2.13071,0.000298,0.000298,0.000298
100,6538.59,0.80517,0.42666,1.30683,0.84382,0.69523,0.75469,0.44984,1.55396,1.05063,2.13363,0.000199,0.000199,0.000199
