epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,2868.58,1.36082,1.69908,1.73584,0.71638,0.6222,0.66962,0.40275,1.52204,1.28001,2.05659,0.005842,0.005842,0.005842
44,2934.33,1.36148,1.66212,1.72854,0.71541,0.65155,0.68303,0.40672,1.5066,1.26371,2.04391,0.005743,0.005743,0.005743
45,3000.67,1.35336,1.6546,1.72758,0.7205,0.64416,0.68177,0.41057,1.52268,1.24934,2.04823,0.005644,0.005644,0.005644
46,3066.39,1.35225,1.64835,1.72103,0.71752,0.6447,0.68164,0.4074,1.51542,1.25973,2.03848,0.005545,0.005545,0.005545
46,78.1768,1.34851,1.64186,1.72381,0.7502,0.63872,0.68426,0.41151,1.51662,1.25511,2.03537,0.005545,0.005545,0.005545
47,143.519,1.34444,1.62246,1.71837,0.72427,0.65794,0.69081,0.41502,1.51115,1.23822,2.0355,0.005446,0.005446,0.005446
48,209.947,1.34025,1.62181,1.71976,0.71192,0.67327,0.69192,0.41956,1.49738,1.22988,2.01798,0.005347,0.005347,0.005347
49,276.657,1.34348,1.61083,1.71778,0.73344,0.65096,0.6903,0.41661,1.50911,1.23116,2.03403,0.005248,0.005248,0.005248
50,342.588,1.33965,1.59383,1.71327,0.76967,0.63251,0.69216,0.41946,1.51253,1.22604,2.03603,0.005149,0.005149,0.005149
51,409.017,1.3324,1.58962,1.70511,0.758,0.65553,0.70483,0.4232,1.49983,1.20299,2.01984,0.00505,0.00505,0.00505
52,476.722,1.33246,1.57906,1.70677,0.75969,0.66221,0.70671,0.42467,1.50923,1.20872,2.03598,0.004951,0.004951,0.004951
53,543.455,1.33318,1.55622,1.70472,0.74794,0.67147,0.70385,0.41881,1.50741,1.20369,2.03573,0.004852,0.004852,0.004852
54,610.028,1.32475,1.55481,1.69693,0.79072,0.66371,0.71247,0.42337,1.50111,1.18371,2.03059,0.004753,0.004753,0.004753
55,676.765,1.31214,1.52609,1.69112,0.76942,0.65807,0.706,0.42262,1.50042,1.18955,2.03038,0.004654,0.004654,0.004654
56,743.708,1.32031,1.51625,1.68817,0.77178,0.65541,0.70924,0.42494,1.50855,1.18611,2.03228,0.004555,0.004555,0.004555
57,810.742,1.29868,1.49354,1.67954,0.77807,0.65906,0.71131,0.42637,1.50958,1.17688,2.03772,0.004456,0.004456,0.004456
58,877.896,1.30673,1.50108,1.678,0.74911,0.67391,0.70953,0.42395,1.51316,1.1762,2.03928,0.004357,0.004357,0.004357
59,945.345,1.2911,1.48699,1.67085,0.77152,0.67227,0.71105,0.42476,1.51545,1.17642,2.04586,0.004258,0.004258,0.004258
60,1012.72,1.3002,1.47002,1.67239,0.77567,0.65581,0.70866,0.42815,1.50784,1.17309,2.03772,0.004159,0.004159,0.004159
61,1080.2,1.2922,1.45449,1.66894,0.79299,0.65546,0.71119,0.4274,1.50594,1.17155,2.03502,0.00406,0.00406,0.00406
62,1147.7,1.28692,1.43093,1.66404,0.77671,0.65785,0.70681,0.42715,1.50866,1.16302,2.03573,0.003961,0.003961,0.003961
63,1215.31,1.28321,1.43466,1.66142,0.77382,0.65719,0.71197,0.4269,1.514,1.16466,2.03804,0.003862,0.003862,0.003862
64,1283.11,1.28048,1.42325,1.66202,0.76478,0.66373,0.70935,0.42439,1.51415,1.16884,2.03857,0.003763,0.003763,0.003763
65,1350.97,1.27724,1.40334,1.65192,0.74548,0.6728,0.71029,0.42485,1.51388,1.16419,2.03777,0.003664,0.003664,0.003664
66,1419.18,1.27613,1.40973,1.6575,0.74456,0.67557,0.71186,0.42536,1.51447,1.16146,2.03686,0.003565,0.003565,0.003565
67,1487.78,1.27029,1.38988,1.65005,0.77472,0.65813,0.71265,0.42455,1.51537,1.15733,2.04104,0.003466,0.003466,0.003466
68,1556.55,1.2647,1.38731,1.64788,0.74409,0.68004,0.71493,0.42822,1.51537,1.16142,2.04091,0.003367,0.003367,0.003367
69,1625.47,1.26119,1.37759,1.64057,0.75901,0.68432,0.71835,0.43056,1.51955,1.1582,2.04381,0.003268,0.003268,0.003268
70,1694.5,1.25316,1.35934,1.63358,0.75278,0.68659,0.71709,0.42947,1.52039,1.15553,2.04513,0.003169,0.003169,0.003169
71,1763.71,1.23479,1.34925,1.62539,0.76069,0.68257,0.71673,0.4296,1.52059,1.15053,2.04822,0.00307,0.00307,0.00307
72,1833.02,1.2449,1.33723,1.62756,0.74105,0.68391,0.71587,0.42762,1.52019,1.14861,2.04928,0.002971,0.002971,0.002971
73,1902.84,1.24298,1.32808,1.62518,0.76438,0.66205,0.71475,0.42736,1.51952,1.15066,2.05027,0.002872,0.002872,0.002872
74,1972.81,1.23569,1.32443,1.62011,0.77332,0.66432,0.71698,0.4275,1.51994,1.15132,2.05123,0.002773,0.002773,0.002773
75,2043.08,1.23294,1.32123,1.61979,0.75793,0.67665,0.71918,0.42823,1.52163,1.15278,2.0525,0.002674,0.002674,0.002674
76,2113.55,1.22515,1.30233,1.61232,0.72933,0.69327,0.71752,0.427,1.52117,1.15503,2.05311,0.002575,0.002575,0.002575
77,2184.01,1.22168,1.28408,1.60549,0.7305,0.6947,0.71829,0.42738,1.51968,1.15116,2.05257,0.002476,0.002476,0.002476
78,2254.5,1.22063,1.29468,1.60842,0.78671,0.66175,0.72072,0.42738,1.52279,1.15003,2.05565,0.002377,0.002377,0.002377
79,2326.88,1.20803,1.26138,1.59738,0.78177,0.66317,0.71996,0.42728,1.5241,1.14845,2.05805,0.002278,0.002278,0.002278
80,2398.37,1.20431,1.25586,1.5945,0.78558,0.6609,0.71982,0.42782,1.52498,1.14667,2.06051,0.002179,0.002179,0.002179
81,2469.05,1.20547,1.26123,1.59276,0.79533,0.65803,0.7205,0.42884,1.52505,1.14568,2.06171,0.00208,0.00208,0.00208
82,2540.81,1.20646,1.25495,1.59228,0.79726,0.65782,0.71935,0.42886,1.52583,1.14321,2.06412,0.001981,0.001981,0.001981
83,2612.58,1.1947,1.22517,1.58917,0.77702,0.67058,0.7174,0.4287,1.52529,1.14423,2.06434,0.001882,0.001882,0.001882
84,2683.92,1.19036,1.2297,1.58615,0.78352,0.6664,0.71695,0.42765,1.52539,1.14613,2.06587,0.001783,0.001783,0.001783
85,2756.55,1.17857,1.20388,1.57134,0.78674,0.66304,0.71708,0.42844,1.52658,1.14573,2.06799,0.001684,0.001684,0.001684
86,2829.2,1.18699,1.21049,1.58265,0.78188,0.66332,0.71616,0.42846,1.5273,1.14499,2.06945,0.001585,0.001585,0.001585
87,2902.95,1.17285,1.19317,1.56609,0.78391,0.66113,0.71678,0.42822,1.52613,1.14541,2.06854,0.001486,0.001486,0.001486
88,2976.59,1.17001,1.19975,1.56867,0.77896,0.66834,0.71657,0.42787,1.52588,1.14338,2.06876,0.001387,0.001387,0.001387
89,3049.83,1.1659,1.1756,1.55837,0.77198,0.67172,0.71841,0.428,1.52494,1.14207,2.06868,0.001288,0.001288,0.001288
90,3123.68,1.15761,1.17656,1.55831,0.74288,0.68855,0.71859,0.42835,1.52468,1.14176,2.06947,0.001189,0.001189,0.001189
91,3196.85,1.1338,0.78869,1.66603,0.75566,0.68601,0.71915,0.42767,1.52503,1.14078,2.0707,0.00109,0.00109,0.00109
92,3269.25,1.09902,0.7465,1.63453,0.76794,0.68105,0.71897,0.42821,1.5248,1.14095,2.07108,0.000991,0.000991,0.000991
93,3341.42,1.08714,0.73126,1.62275,0.76763,0.68458,0.71848,0.42799,1.52498,1.1407,2.07272,0.000892,0.000892,0.000892
94,3413.78,1.07996,0.71755,1.61566,0.77052,0.67975,0.71703,0.42716,1.52528,1.14211,2.07373,0.000793,0.000793,0.000793
95,3486.02,1.06577,0.70827,1.60125,0.77353,0.6806,0.7167,0.42664,1.526,1.1422,2.07575,0.000694,0.000694,0.000694
96,3558.24,1.05178,0.69846,1.59159,0.77342,0.68327,0.71685,0.42679,1.52606,1.14312,2.0771,0.000595,0.000595,0.000595
97,3629.18,1.03896,0.68335,1.57921,0.77787,0.68092,0.71548,0.42563,1.52651,1.14375,2.07905,0.000496,0.000496,0.000496
98,3700.5,1.03391,0.68266,1.57282,0.77756,0.68087,0.71521,0.42585,1.52686,1.14455,2.08068,0.000397,0.000397,0.000397
99,3771.02,1.02742,0.67492,1.57044,0.77959,0.67982,0.71502,0.42532,1.52758,1.14448,2.08253,0.000298,0.000298,0.000298
100,3841.14,1.02385,0.67054,1.56077,0.7836,0.67782,0.71471,0.42539,1.5276,1.14433,2.08425,0.000199,0.000199,0.000199
